username,login_time,page
{'keiko'},2025-03-28 00:15:53,
{'keiko'},2025-03-28 00:15:54,
{'keiko'},2025-03-28 00:15:55,
{None},2025-03-28 00:15:58,
{'kazu'},2025-03-28 00:16:19,
{'kazu'},2025-03-28 00:16:20,
{'kazu'},2025-03-28 00:16:21,
{None},2025-03-28 00:16:22,
{'keiko'},2025-03-28 00:29:05,P02
{'keiko'},2025-03-28 00:29:06,P02
{'keiko'},2025-03-28 00:29:07,P02
{None},2025-03-28 00:29:13,P02
{'kazu'},2025-03-28 00:29:27,P02
{'kazu'},2025-03-28 00:29:28,P02
{'kazu'},2025-03-28 00:29:29,P02
{None},2025-03-28 00:29:31,P02
{'kazu'},2025-03-28 00:31:20,P01
{'kazu'},2025-03-28 00:31:21,P01
{'kazu'},2025-03-28 00:31:22,P01
{None},2025-03-28 00:31:24,P01
{'keiko'},2025-03-28 00:31:49,P02
{'keiko'},2025-03-28 00:31:49,P02
{'keiko'},2025-03-28 00:31:50,P02
{'keiko'},2025-03-28 00:31:55,P01
{'keiko'},2025-03-28 00:32:00,P01
{'keiko'},2025-03-28 00:32:02,P02
{None},2025-03-28 00:32:04,P02
{'keiko'},2025-03-28 00:35:07,P01
{'keiko'},2025-03-28 00:35:08,P01
{'keiko'},2025-03-28 00:35:08,P01
{'keiko'},2025-03-28 00:35:14,P02
{'keiko'},2025-03-28 01:00:32,P01
{'keiko'},2025-03-28 01:00:36,P02
{None},2025-03-28 01:00:40,P02
{'keiko'},2025-03-28 01:11:16,P01
{'keiko'},2025-03-28 01:11:19,P02
{'keiko'},2025-03-28 01:41:20,P01
{'keiko'},2025-03-28 01:42:40,P01
{None},2025-03-28 01:43:17,P01
{'keiko'},2025-03-28 01:45:57,P01
{'keiko'},2025-03-28 01:45:59,P01
{'keiko'},2025-03-28 01:45:59,P01
{'keiko'},2025-03-28 01:46:07,P01
{'keiko'},2025-03-28 01:46:12,P02
{None},2025-03-28 01:46:15,P02
